# contains the families on the left with the members on the right. Look down the file to find an example with more than one member
mir-3691	hsa-mir-3691
mir-79	hsa-mir-79
mir-76	hsa-mir-76
mir-77	hsa-mir-77
mir-74	hsa-mir-74
mir-75	hsa-mir-75
mir-72	hsa-mir-72
mir-73	hsa-mir-73
mir-2126	hsa-mir-2126
mir-2127	hsa-mir-2127
mir-2498	hsa-mir-2498
mir-2499	hsa-mir-2499
mir-2996	hsa-mir-2996-1	hsa-mir-2996-2
mir-2490	hsa-mir-2490
mir-2491	hsa-mir-2491
mir-2492	hsa-mir-2492
mir-2493	hsa-mir-2493
mir-2494	hsa-mir-2494
mir-2495	hsa-mir-2495
mir-2496	hsa-mir-2496
mir-2497	hsa-mir-2497
mir-4096	hsa-mir-4096
mir-4097	hsa-mir-4097
mir-4094	hsa-mir-4094
mir-4095	hsa-mir-4095
mir-4092	hsa-mir-4092
mir-4093	hsa-mir-4093
mir-4090	hsa-mir-4090
mir-4091	hsa-mir-4091
mir-4098	hsa-mir-4098
mir-4099	hsa-mir-4099
mir-3529	hsa-mir-3529
mir-3528	hsa-mir-3528
mir-3523	hsa-mir-3523
mir-3527	hsa-mir-3527
mir-3526	hsa-mir-3526
mir-3525	hsa-mir-3525
mir-3524	hsa-mir-3524
mir-4026	hsa-mir-4026
mir-13	hsa-mir-13a	hsa-mir-13b-1	hsa-mir-13b-2
mir-4168	hsa-mir-4168
mir-4169	hsa-mir-4169
mir-4162	hsa-mir-4162
mir-4163	hsa-mir-4163
mir-4160	hsa-mir-4160
mir-4166	hsa-mir-4166
mir-4167	hsa-mir-4167
mir-4164	hsa-mir-4164
mir-4165	hsa-mir-4165
mir-1420	hsa-mir-1420a	hsa-mir-1420b	hsa-mir-1420c	hsa-mir-1420d	hsa-mir-1420e	hsa-mir-1420f	hsa-mir-1420g
mir-1421	hsa-mir-1421a	hsa-mir-1421b	hsa-mir-1421c	hsa-mir-1421d	hsa-mir-1421e	hsa-mir-1421f	hsa-mir-1421g-1	hsa-mir-1421h	hsa-mir-1421i-1	hsa-mir-1421j	hsa-mir-1421k-1	hsa-mir-1421l-1	hsa-mir-1421m	hsa-mir-1421n-1	hsa-mir-1421o	hsa-mir-1421p-1	hsa-mir-1421q	hsa-mir-1421r	hsa-mir-1421s	hsa-mir-1421t	hsa-mir-1421n-2	hsa-mir-1421u	hsa-mir-1421v	hsa-mir-1421w	hsa-mir-1421x	hsa-mir-1421y-1	hsa-mir-1421z	hsa-mir-1421aa	hsa-mir-1421ab-1	hsa-mir-1421ac-1	hsa-mir-1421ad	hsa-mir-1421ae	hsa-mir-1421af	hsa-mir-1421y-2	hsa-mir-1421y-3	hsa-mir-1421ag-1	hsa-mir-1421ab-2	hsa-mir-1421ac-2	hsa-mir-1421ah	hsa-mir-1421ai	hsa-mir-1421aj	hsa-mir-1421g-2	hsa-mir-1421g-3	hsa-mir-1421i-2	hsa-mir-1421i-3	hsa-mir-1421k-2	hsa-mir-1421k-3	hsa-mir-1421l-2	hsa-mir-1421p-2	hsa-mir-1421ak	hsa-mir-1421al	hsa-mir-1421am	hsa-mir-1421ag-2
mir-1422	hsa-mir-1422a	hsa-mir-1422e	hsa-mir-1422h	hsa-mir-1422b-1	hsa-mir-1422f	hsa-mir-1422g	hsa-mir-1422c	hsa-mir-1422i	hsa-mir-1422k	hsa-mir-1422l	hsa-mir-1422j	hsa-mir-1422d	hsa-mir-1422m	hsa-mir-1422n	hsa-mir-1422o	hsa-mir-1422b-2	hsa-mir-1422p	hsa-mir-1422q
mir-4071	hsa-mir-4071
mir-80	hsa-mir-80
mir-3714	hsa-mir-3714
mir-1648	hsa-mir-1648
mir-1649	hsa-mir-1649
mir-2993	hsa-mir-2993
mir-2336	hsa-mir-2336
mir-2995	hsa-mir-2995
mir-2994	hsa-mir-2994
mir-1468	hsa-mir-1468
mir-1469	hsa-mir-1469
mir-1464	hsa-mir-1464
mir-1465	hsa-mir-1465
mir-1466	hsa-mir-1466
mir-1467	hsa-mir-1467
mir-1460	hsa-mir-1460
mir-1461	hsa-mir-1461
mir-1462	hsa-mir-1462
mir-1463	hsa-mir-1463
mir-1604	hsa-mir-1604
mir-1605	hsa-mir-1605
mir-1606	hsa-mir-1606
mir-1607	hsa-mir-1607
mir-1600	hsa-mir-1600
mir-1601	hsa-mir-1601
mir-1602	hsa-mir-1602
mir-1603	hsa-mir-1603
mir-1644	hsa-mir-1644
mir-1608	hsa-mir-1608
mir-1609	hsa-mir-1609-1	hsa-mir-1609-2
mir-1645	hsa-mir-1645
mir-1766	hsa-mir-1766-1	hsa-mir-1766-2
mir-101	hsa-mir-101-1	hsa-mir-101-2	hsa-mir-101a	hsa-mir-101	hsa-mir-101b	hsa-mir-101a-2	hsa-mir-101a-1
mir-100	hsa-mir-100	hsa-mir-100-1	hsa-mir-100-2
mir-103	hsa-mir-103-2	hsa-mir-103-1	hsa-mir-103-1-as	hsa-mir-103-2-as	hsa-mir-103	hsa-mir-103-3
mir-105	hsa-mir-105-1	hsa-mir-105-2	hsa-mir-105	hsa-mir-105b	hsa-mir-105a
mir-107	hsa-mir-107	hsa-mir-107b	hsa-mir-107a
mir-106	hsa-mir-106a	hsa-mir-106b	hsa-mir-106
mir-1262	hsa-mir-1262
mir-1263	hsa-mir-1263
mir-1260	hsa-mir-1260	hsa-mir-1260b
mir-1261	hsa-mir-1261
mir-1266	hsa-mir-1266
mir-1267	hsa-mir-1267
mir-1264	hsa-mir-1264
mir-1265	hsa-mir-1265
mir-1704	hsa-mir-1704
mir-1268	hsa-mir-1268
mir-1269	hsa-mir-1269
mir-691	hsa-mir-691
mir-690	hsa-mir-690
mir-693	hsa-mir-693
mir-692	hsa-mir-692-1	hsa-mir-692-2
mir-695	hsa-mir-695
mir-694	hsa-mir-694
mir-697	hsa-mir-697
mir-696	hsa-mir-696
mir-698	hsa-mir-698
mir-2469	hsa-mir-2469
mir-2468	hsa-mir-2468
mir-1288	hsa-mir-1288
mir-1289	hsa-mir-1289-1	hsa-mir-1289-2	hsa-mir-1289
mir-2052	hsa-mir-2052
mir-1280	hsa-mir-1280
mir-1281	hsa-mir-1281
mir-1282	hsa-mir-1282	hsa-mir-1282-1	hsa-mir-1282-2
mir-1283	hsa-mir-1283-1	hsa-mir-1283-2	hsa-mir-1283	hsa-mir-1283a	hsa-mir-1283b
mir-1284	hsa-mir-1284
mir-1285	hsa-mir-1285-1	hsa-mir-1285-2	hsa-mir-1285	hsa-mir-1285a	hsa-mir-1285b
mir-1286	hsa-mir-1286
mir-1287	hsa-mir-1287
mir-743	hsa-mir-743a	hsa-mir-743b
mir-214	hsa-mir-214
mir-217	hsa-mir-217	hsa-mir-217-1	hsa-mir-217-2
mir-216	hsa-mir-216a	hsa-mir-216b	hsa-mir-216	hsa-mir-216c	hsa-mir-216a-1	hsa-mir-216a-2	hsa-mir-216b-1	hsa-mir-216b-2
mir-211	hsa-mir-211
mir-210	hsa-mir-210
mir-744	hsa-mir-744
mir-219	hsa-mir-219-1	hsa-mir-219-2	hsa-mir-219	hsa-mir-219-3
mir-218	hsa-mir-218-1	hsa-mir-218-2	hsa-mir-218	hsa-mir-218a-1	hsa-mir-218a-2	hsa-mir-218b
mir-585	hsa-mir-585
mir-584	hsa-mir-584	hsa-mir-584-5	hsa-mir-584-2	hsa-mir-584-3	hsa-mir-584-4	hsa-mir-584-6	hsa-mir-584-7	hsa-mir-584-1	hsa-mir-584-8
mir-587	hsa-mir-587
mir-586	hsa-mir-586
mir-581	hsa-mir-581
mir-580	hsa-mir-580
mir-583	hsa-mir-583
mir-582	hsa-mir-582
mir-589	hsa-mir-589
mir-588	hsa-mir-588
mir-969	hsa-mir-969
mir-968	hsa-mir-968
mir-963	hsa-mir-963
mir-962	hsa-mir-962
mir-961	hsa-mir-961
mir-960	hsa-mir-960
mir-967	hsa-mir-967
mir-966	hsa-mir-966
mir-965	hsa-mir-965
mir-964	hsa-mir-964
mir-2397	hsa-mir-2397
mir-2396	hsa-mir-2396
mir-2395	hsa-mir-2395
mir-2394	hsa-mir-2394
mir-2393	hsa-mir-2393
mir-2392	hsa-mir-2392
mir-2391	hsa-mir-2391
mir-2390	hsa-mir-2390
mir-1844	hsa-mir-1844
mir-1845	hsa-mir-1845
mir-1842	hsa-mir-1842
mir-1843	hsa-mir-1843
mir-2399	hsa-mir-2399
mir-2398	hsa-mir-2398
mir-361	hsa-mir-361
mir-360	hsa-mir-360
mir-363	hsa-mir-363
mir-362	hsa-mir-362
mir-365	hsa-mir-365-1	hsa-mir-365-2	hsa-mir-365	hsa-mir-365-3	hsa-mir-365-4
mir-367	hsa-mir-367
mir-369	hsa-mir-369
mir-2139	hsa-mir-2139
mir-1767	hsa-mir-1767
mir-65	hsa-mir-65
mir-64	hsa-mir-64
mir-2131	hsa-mir-2131
mir-2130	hsa-mir-2130
mir-2137	hsa-mir-2137
mir-2136	hsa-mir-2136
mir-63	hsa-mir-63
mir-62	hsa-mir-62
mir-2489	hsa-mir-2489
mir-2488	hsa-mir-2488
mir-2483	hsa-mir-2483
mir-2482	hsa-mir-2482
mir-2481	hsa-mir-2481
mir-2480	hsa-mir-2480
mir-2487	hsa-mir-2487
mir-2486	hsa-mir-2486
mir-2485	hsa-mir-2485
mir-2484	hsa-mir-2484
mir-2988	hsa-mir-2988
mir-2902	hsa-mir-2902-1	hsa-mir-2902-2
mir-2903	hsa-mir-2903
mir-1635	hsa-mir-1635
mir-3609	hsa-mir-3609
mir-2989	hsa-mir-2989-1	hsa-mir-2989-2
mir-1634	hsa-mir-1634
mir-3602	hsa-mir-3602
mir-3603	hsa-mir-3603
mir-3600	hsa-mir-3600
mir-3601	hsa-mir-3601
mir-3606	hsa-mir-3606
mir-3607	hsa-mir-3607
mir-3604	hsa-mir-3604-1	hsa-mir-3604-2
mir-3605	hsa-mir-3605
mir-1636	hsa-mir-1636
mir-1631	hsa-mir-1631
mir-1630	hsa-mir-1630
mir-1633	hsa-mir-1633
mir-2909	hsa-mir-2909
mir-4089	hsa-mir-4089
mir-2429	hsa-mir-2429
mir-3113	hsa-mir-3113
mir-4081	hsa-mir-4081
mir-4080	hsa-mir-4080
mir-4083	hsa-mir-4083
mir-4082	hsa-mir-4082
mir-4085	hsa-mir-4085
mir-4084	hsa-mir-4084
mir-4087	hsa-mir-4087
mir-4086	hsa-mir-4086
mir-1706	hsa-mir-1706
mir-2984	hsa-mir-2984
mir-2423	hsa-mir-2423
mir-2422	hsa-mir-2422
mir-4179	hsa-mir-4179
mir-4178	hsa-mir-4178a	hsa-mir-4178b
mir-4175	hsa-mir-4175
mir-4174	hsa-mir-4174
mir-4177	hsa-mir-4177
mir-4176	hsa-mir-4176
mir-4171	hsa-mir-4171
mir-4170	hsa-mir-4170
mir-4173	hsa-mir-4173
mir-4172	hsa-mir-4172
mir-1473	hsa-mir-1473
mir-1471	hsa-mir-1471
mir-1470	hsa-mir-1470
mir-1617	hsa-mir-1617
mir-1616	hsa-mir-1616
mir-1615	hsa-mir-1615
mir-1614	hsa-mir-1614
mir-1613	hsa-mir-1613-1	hsa-mir-1613-2
mir-1612	hsa-mir-1612
mir-1611	hsa-mir-1611
mir-1610	hsa-mir-1610
mir-1619	hsa-mir-1619
mir-1618	hsa-mir-1618
mir-1275	hsa-mir-1275
mir-1274	hsa-mir-1274a	hsa-mir-1274b
mir-1277	hsa-mir-1277
mir-1276	hsa-mir-1276
mir-1271	hsa-mir-1271
mir-1270	hsa-mir-1270-1	hsa-mir-1270-2	hsa-mir-1270
mir-1273	hsa-mir-1273	hsa-mir-1273c	hsa-mir-1273d	hsa-mir-1273e
mir-1272	hsa-mir-1272
mir-1279	hsa-mir-1279
mir-1278	hsa-mir-1278
mir-257	hsa-mir-257
mir-688	hsa-mir-688
mir-686	hsa-mir-686
mir-687	hsa-mir-687
mir-684	hsa-mir-684-1	hsa-mir-684-2	hsa-mir-684
mir-256	hsa-mir-256
mir-682	hsa-mir-682
mir-683	hsa-mir-683-1	hsa-mir-683-2
mir-680	hsa-mir-680-1	hsa-mir-680-2	hsa-mir-680-3
mir-681	hsa-mir-681
mir-259	hsa-mir-259
mir-1299	hsa-mir-1299
mir-1298	hsa-mir-1298
mir-258	hsa-mir-258-1	hsa-mir-258-2
mir-1293	hsa-mir-1293
mir-1292	hsa-mir-1292
mir-1291	hsa-mir-1291	hsa-mir-1291b	hsa-mir-1291a
mir-1290	hsa-mir-1290
mir-1297	hsa-mir-1297	hsa-mir-1297-1	hsa-mir-1297-2
mir-1296	hsa-mir-1296
mir-1295	hsa-mir-1295
mir-1294	hsa-mir-1294
mir-202	hsa-mir-202	hsa-mir-202-1	hsa-mir-202-2
mir-203	hsa-mir-203	hsa-mir-203a	hsa-mir-203b
mir-200	hsa-mir-200b	hsa-mir-200c	hsa-mir-200a	hsa-mir-200
mir-201	hsa-mir-201
mir-206	hsa-mir-206	hsa-mir-206-2	hsa-mir-206-1
mir-207	hsa-mir-207
mir-204	hsa-mir-204	hsa-mir-204b-2	hsa-mir-204-2	hsa-mir-204-1	hsa-mir-204-3	hsa-mir-204-4	hsa-mir-204-5	hsa-mir-204b	hsa-mir-204a
mir-205	hsa-mir-205	hsa-mir-205a	hsa-mir-205b
mir-758	hsa-mir-758
mir-759	hsa-mir-759
mir-208	hsa-mir-208a	hsa-mir-208b	hsa-mir-208
mir-592	hsa-mir-592
mir-593	hsa-mir-593
mir-590	hsa-mir-590
mir-591	hsa-mir-591
mir-596	hsa-mir-596
mir-597	hsa-mir-597
mir-595	hsa-mir-595
mir-598	hsa-mir-598
mir-599	hsa-mir-599
mir-978	hsa-mir-978
mir-979	hsa-mir-979
mir-970	hsa-mir-970
mir-971	hsa-mir-971
mir-972	hsa-mir-972
mir-973	hsa-mir-973
mir-974	hsa-mir-974
mir-975	hsa-mir-975
mir-976	hsa-mir-976
mir-977	hsa-mir-977
mir-644	hsa-mir-644
mir-378	hsa-mir-378	hsa-mir-378b	hsa-mir-378c	hsa-mir-378-2	hsa-mir-378-1
mir-379	hsa-mir-379
mir-376	hsa-mir-376c	hsa-mir-376a-1	hsa-mir-376b	hsa-mir-376a-2	hsa-mir-376a	hsa-mir-376d	hsa-mir-376a-3
mir-377	hsa-mir-377
mir-374	hsa-mir-374a	hsa-mir-374b	hsa-mir-374c	hsa-mir-374
mir-375	hsa-mir-375	hsa-mir-375-1	hsa-mir-375-2
mir-372	hsa-mir-372
mir-373	hsa-mir-373
mir-370	hsa-mir-370
mir-371	hsa-mir-371
mir-58	hsa-mir-58	hsa-mir-58b
mir-59	hsa-mir-59
mir-50	hsa-mir-50
mir-51	hsa-mir-51
mir-52	hsa-mir-52
mir-53	hsa-mir-53
mir-54	hsa-mir-54
mir-55	hsa-mir-55
mir-56	hsa-mir-56
mir-57	hsa-mir-57
mir-1200	hsa-mir-1200
mir-2886	hsa-mir-2886
mir-1970	hsa-mir-1970
mir-1971	hsa-mir-1971
mir-3619	hsa-mir-3619
mir-3618	hsa-mir-3618
mir-3615	hsa-mir-3615
mir-3614	hsa-mir-3614
mir-3617	hsa-mir-3617
mir-3616	hsa-mir-3616
mir-3611	hsa-mir-3611
mir-3610	hsa-mir-3610
mir-3613	hsa-mir-3613
mir-3612	hsa-mir-3612
mir-2881	hsa-mir-2881
mir-1759	hsa-mir-1759
mir-1756	hsa-mir-1756a	hsa-mir-1756b
mir-237	hsa-mir-237
mir-1750	hsa-mir-1750
mir-1751	hsa-mir-1751
mir-236	hsa-mir-236
mir-4180	hsa-mir-4180
mir-4181	hsa-mir-4181
mir-3075	hsa-mir-3075
mir-4183	hsa-mir-4183
mir-4184	hsa-mir-4184
mir-4185	hsa-mir-4185
mir-4186	hsa-mir-4186
mir-4187	hsa-mir-4187
mir-4188	hsa-mir-4188
mir-4189	hsa-mir-4189
mir-3074	hsa-mir-3074	hsa-mir-3074-1	hsa-mir-3074-2
mir-1688	hsa-mir-1688
mir-1689	hsa-mir-1689
mir-505	hsa-mir-505
mir-1685	hsa-mir-1685
mir-1686	hsa-mir-1686
mir-1594	hsa-mir-1594
mir-1595	hsa-mir-1595
mir-1596	hsa-mir-1596
mir-1597	hsa-mir-1597
mir-1590	hsa-mir-1590
mir-1591	hsa-mir-1591
mir-1592	hsa-mir-1592
mir-1593	hsa-mir-1593
mir-1680	hsa-mir-1680
mir-1598	hsa-mir-1598
mir-1599	hsa-mir-1599
mir-1681	hsa-mir-1681
mir-1682	hsa-mir-1682
mir-1683	hsa-mir-1683
mir-4156	hsa-mir-4156
mir-1910	hsa-mir-1910
mir-1911	hsa-mir-1911
mir-1912	hsa-mir-1912
mir-1913	hsa-mir-1913
mir-1914	hsa-mir-1914
mir-1915	hsa-mir-1915
mir-769	hsa-mir-769	hsa-mir-769b
mir-765	hsa-mir-765
mir-764	hsa-mir-764
mir-767	hsa-mir-767
mir-766	hsa-mir-766
mir-761	hsa-mir-761
mir-760	hsa-mir-760
mir-763	hsa-mir-763
mir-762	hsa-mir-762
mir-1628	hsa-mir-1628
mir-1629	hsa-mir-1629
mir-569	hsa-mir-569
mir-568	hsa-mir-568
mir-1622	hsa-mir-1622
mir-566	hsa-mir-566
mir-1620	hsa-mir-1620
mir-564	hsa-mir-564
mir-1626	hsa-mir-1626
mir-562	hsa-mir-562
mir-561	hsa-mir-561
mir-1625	hsa-mir-1625
mir-787	hsa-mir-787
mir-786	hsa-mir-786
mir-785	hsa-mir-785
mir-784	hsa-mir-784
mir-789	hsa-mir-789-1	hsa-mir-789-2
mir-788	hsa-mir-788
mir-1824	hsa-mir-1824
mir-1825	hsa-mir-1825
mir-1827	hsa-mir-1827
mir-1820	hsa-mir-1820
mir-1821	hsa-mir-1821
mir-1822	hsa-mir-1822
mir-1823	hsa-mir-1823
mir-1828	hsa-mir-1828
mir-1829	hsa-mir-1829a	hsa-mir-1829b	hsa-mir-1829c
mir-309	hsa-mir-309
mir-308	hsa-mir-308
mir-303	hsa-mir-303
mir-302	hsa-mir-302a	hsa-mir-302b	hsa-mir-302c	hsa-mir-302d	hsa-mir-302e	hsa-mir-302f	hsa-mir-302-2	hsa-mir-302-1	hsa-mir-302
mir-301	hsa-mir-301a	hsa-mir-301b	hsa-mir-301	hsa-mir-301-1	hsa-mir-301-2	hsa-mir-301a-1	hsa-mir-301a-2	hsa-mir-301c
mir-300	hsa-mir-300
mir-307	hsa-mir-307	hsa-mir-307-as
mir-306	hsa-mir-306
mir-305	hsa-mir-305
mir-304	hsa-mir-304
mir-47	hsa-mir-47
mir-46	hsa-mir-46
mir-45	hsa-mir-45
mir-44	hsa-mir-44
mir-43	hsa-mir-43
mir-42	hsa-mir-42
mir-41	hsa-mir-41
mir-40	hsa-mir-40
mir-49	hsa-mir-49
mir-48	hsa-mir-48
mir-2110	hsa-mir-2110
mir-2113	hsa-mir-2113
mir-3199	hsa-mir-3199-1	hsa-mir-3199-2
mir-2115	hsa-mir-2115
mir-2114	hsa-mir-2114
mir-2117	hsa-mir-2117
mir-2116	hsa-mir-2116
mir-3192	hsa-mir-3192
mir-3193	hsa-mir-3193
mir-3190	hsa-mir-3190
mir-3191	hsa-mir-3191
mir-3196	hsa-mir-3196
mir-3197	hsa-mir-3197
mir-3194	hsa-mir-3194
mir-3195	hsa-mir-3195
mir-944	hsa-mir-944
mir-941	hsa-mir-941-1	hsa-mir-941-2	hsa-mir-941-3	hsa-mir-941-4
mir-412	hsa-mir-412
mir-411	hsa-mir-411
mir-410	hsa-mir-410
mir-757	hsa-mir-757-1	hsa-mir-757-2
mir-3574	hsa-mir-3574
mir-1190	hsa-mir-1190
mir-3576	hsa-mir-3576
mir-3577	hsa-mir-3577
mir-3570	hsa-mir-3570
mir-3571	hsa-mir-3571
mir-3572	hsa-mir-3572
mir-3573	hsa-mir-3573
mir-3578	hsa-mir-3578
mir-3579	hsa-mir-3579
mir-242	hsa-mir-242
mir-4193	hsa-mir-4193
mir-611	hsa-mir-611
mir-4191	hsa-mir-4191
mir-4190	hsa-mir-4190
mir-4197	hsa-mir-4197
mir-4196	hsa-mir-4196
mir-4195	hsa-mir-4195
mir-610	hsa-mir-610
mir-4199	hsa-mir-4199
mir-4198	hsa-mir-4198
mir-241	hsa-mir-241
mir-875	hsa-mir-875
mir-874	hsa-mir-874
mir-3134	hsa-mir-3134
mir-3135	hsa-mir-3135
mir-1587	hsa-mir-1587
mir-1586	hsa-mir-1586
mir-1585	hsa-mir-1585
mir-1584	hsa-mir-1584
mir-1583	hsa-mir-1583
mir-1582	hsa-mir-1582
mir-1581	hsa-mir-1581
mir-1580	hsa-mir-1580
mir-1589	hsa-mir-1589
mir-1588	hsa-mir-1588
mir-1454	hsa-mir-1454
mir-1457	hsa-mir-1457
mir-1456	hsa-mir-1456
mir-1451	hsa-mir-1451
mir-1453	hsa-mir-1453
mir-1452	hsa-mir-1452
mir-1459	hsa-mir-1459
mir-1458	hsa-mir-1458
mir-3645	hsa-mir-3645
mir-2963	hsa-mir-2963
mir-1903	hsa-mir-1903
mir-1902	hsa-mir-1902
mir-1901	hsa-mir-1901
mir-1900	hsa-mir-1900
mir-1907	hsa-mir-1907
mir-1906	hsa-mir-1906-1	hsa-mir-1906-2
mir-1905	hsa-mir-1905a	hsa-mir-1905c	hsa-mir-1905	hsa-mir-1905b
mir-1904	hsa-mir-1904
mir-1909	hsa-mir-1909
mir-1908	hsa-mir-1908
mir-770	hsa-mir-770
mir-2904	hsa-mir-2904-1	hsa-mir-2904-2	hsa-mir-2904-3
mir-578	hsa-mir-578
mir-579	hsa-mir-579
mir-2900	hsa-mir-2900
mir-2901	hsa-mir-2901
mir-574	hsa-mir-574
mir-575	hsa-mir-575
mir-576	hsa-mir-576
mir-577	hsa-mir-577
mir-570	hsa-mir-570
mir-571	hsa-mir-571
mir-572	hsa-mir-572
mir-573	hsa-mir-573
mir-794	hsa-mir-794
mir-795	hsa-mir-795
mir-796	hsa-mir-796
mir-797	hsa-mir-797
mir-790	hsa-mir-790	hsa-mir-790-1
mir-791	hsa-mir-791
mir-792	hsa-mir-792
mir-793	hsa-mir-793
mir-798	hsa-mir-798
mir-799	hsa-mir-799
mir-2340	hsa-mir-2340
mir-2341	hsa-mir-2341
mir-2342	hsa-mir-2342
mir-2343	hsa-mir-2343
mir-2344	hsa-mir-2344
mir-2345	hsa-mir-2345
mir-2346	hsa-mir-2346
mir-2347	hsa-mir-2347
mir-2348	hsa-mir-2348
mir-2349	hsa-mir-2349
mir-1837	hsa-mir-1837-1	hsa-mir-1837-2	hsa-mir-1837-3	hsa-mir-1837-4
mir-1836	hsa-mir-1836
mir-1835	hsa-mir-1835
mir-1834	hsa-mir-1834
mir-1833	hsa-mir-1833
mir-1832	hsa-mir-1832	hsa-mir-1832b
mir-1830	hsa-mir-1830
mir-1839	hsa-mir-1839
mir-1838	hsa-mir-1838
mir-318	hsa-mir-318	hsa-mir-318-1
mir-310	hsa-mir-310
mir-311	hsa-mir-311	hsa-mir-311b-1
mir-312	hsa-mir-312
mir-313	hsa-mir-313
mir-314	hsa-mir-314
mir-315	hsa-mir-315
mir-316	hsa-mir-316
mir-317	hsa-mir-317
mir-32	hsa-mir-32
mir-33	hsa-mir-33a	hsa-mir-33b	hsa-mir-33	hsa-mir-33-2
mir-30	hsa-mir-30a	hsa-mir-30c-2	hsa-mir-30d	hsa-mir-30b	hsa-mir-30c-1	hsa-mir-30e	hsa-mir-30c	hsa-mir-30f	hsa-mir-30e-2
mir-31	hsa-mir-31	hsa-mir-31b	hsa-mir-31a
mir-36	hsa-mir-36
mir-37	hsa-mir-37
mir-34	hsa-mir-34a	hsa-mir-34b	hsa-mir-34c	hsa-mir-34	hsa-mir-34c-1	hsa-mir-34c-2	hsa-mir-34b-2	hsa-mir-34b-4	hsa-mir-34b-3	hsa-mir-34b-1
mir-35	hsa-mir-35
mir-38	hsa-mir-38
mir-39	hsa-mir-39
mir-1012	hsa-mir-1012
mir-3189	hsa-mir-3189
mir-3188	hsa-mir-3188
mir-3185	hsa-mir-3185
mir-3184	hsa-mir-3184
mir-3187	hsa-mir-3187
mir-3186	hsa-mir-3186
mir-3181	hsa-mir-3181
mir-3180	hsa-mir-3180-1	hsa-mir-3180-2	hsa-mir-3180-3	hsa-mir-3180-4	hsa-mir-3180-5
mir-3183	hsa-mir-3183
mir-3182	hsa-mir-3182
mir-1325	hsa-mir-1325
mir-956	hsa-mir-956
mir-957	hsa-mir-957
mir-954	hsa-mir-954
mir-955	hsa-mir-955
mir-958	hsa-mir-958
mir-959	hsa-mir-959
mir-409	hsa-mir-409
mir-1412	hsa-mir-1412
mir-1002	hsa-mir-1002
mir-1003	hsa-mir-1003
mir-1000	hsa-mir-1000
mir-1001	hsa-mir-1001
mir-1006	hsa-mir-1006
mir-1007	hsa-mir-1007
mir-1004	hsa-mir-1004
mir-1005	hsa-mir-1005
mir-4210	hsa-mir-4210
mir-4211	hsa-mir-4211
mir-4212	hsa-mir-4212
mir-4213	hsa-mir-4213
mir-4214	hsa-mir-4214
mir-4215	hsa-mir-4215
mir-4216	hsa-mir-4216
mir-4217	hsa-mir-4217
mir-4218	hsa-mir-4218
mir-4219	hsa-mir-4219
mir-4321	hsa-mir-4321
mir-3567	hsa-mir-3567
mir-3566	hsa-mir-3566
mir-3565	hsa-mir-3565
mir-3564	hsa-mir-3564
mir-3563	hsa-mir-3563
mir-3562	hsa-mir-3562
mir-3561	hsa-mir-3561
mir-3560	hsa-mir-3560
mir-3569	hsa-mir-3569
mir-3568	hsa-mir-3568
mir-1671	hsa-mir-1671
mir-1670	hsa-mir-1670
mir-1673	hsa-mir-1673
mir-1672	hsa-mir-1672
mir-4324	hsa-mir-4324
mir-4325	hsa-mir-4325
mir-4326	hsa-mir-4326
mir-4327	hsa-mir-4327
mir-4320	hsa-mir-4320
mir-1677	hsa-mir-1677
mir-4322	hsa-mir-4322
mir-4323	hsa-mir-4323
mir-1676	hsa-mir-1676
mir-4328	hsa-mir-4328
mir-4329	hsa-mir-4329
mir-1954	hsa-mir-1954
mir-1771	hsa-mir-1771
mir-1772	hsa-mir-1772
mir-1773	hsa-mir-1773
mir-1774	hsa-mir-1774
mir-1775	hsa-mir-1775
mir-1952	hsa-mir-1952
mir-1953	hsa-mir-1953
mir-4038	hsa-mir-4038
mir-4039	hsa-mir-4039
mir-4030	hsa-mir-4030
mir-4031	hsa-mir-4031
mir-4032	hsa-mir-4032
mir-4033	hsa-mir-4033
mir-4034	hsa-mir-4034
mir-4035	hsa-mir-4035
mir-4036	hsa-mir-4036
mir-4037	hsa-mir-4037
lsy-6	hsa-lsy-6
mir-1330	hsa-mir-1330
mir-1331	hsa-mir-1331
mir-1332	hsa-mir-1332
mir-1333	hsa-mir-1333
mir-1334	hsa-mir-1334
mir-1335	hsa-mir-1335
mir-1336	hsa-mir-1336
mir-1337	hsa-mir-1337
mir-1338	hsa-mir-1338
mir-1339	hsa-mir-1339
mir-149	hsa-mir-149
mir-148	hsa-mir-148a	hsa-mir-148b	hsa-mir-148
mir-145	hsa-mir-145
mir-144	hsa-mir-144
mir-147	hsa-mir-147	hsa-mir-147b	hsa-mir-147a	hsa-mir-147-1	hsa-mir-147-2
mir-146	hsa-mir-146a	hsa-mir-146b	hsa-mir-146c-1	hsa-mir-146c-2	hsa-mir-146c	hsa-mir-146	hsa-mir-146b-1	hsa-mir-146b-2
mir-141	hsa-mir-141	hsa-mir-141-1	hsa-mir-141-2
mir-140	hsa-mir-140
mir-143	hsa-mir-143	hsa-mir-143-1	hsa-mir-143-2
mir-142	hsa-mir-142	hsa-mir-142-1	hsa-mir-142-2	hsa-mir-142a	hsa-mir-142b
mir-2979	hsa-mir-2979-1	hsa-mir-2979-2
mir-2978	hsa-mir-2978
mir-642	hsa-mir-642a	hsa-mir-642b	hsa-mir-642
